,Регион,ФО,"Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых закончено в отчетном году, % от впервые выявленных","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетом году, чел.","Число ЗНО, выявленных в отчетном году, радикальное лечение которых будет продолжено в отчетном году, % от впервые выявленных","В том числе с использованием методов только хирургического, %","В том числе с использованием методов только лучевого, %","В том числе с использованием методов только лекарственного, %","В том числе с использованием методов комбинированного или комплексного (кроме химиолучевого), %","В том числе с использованием методов химиолучевого, %",Индикатор,Локализация,Таблица,Тип данных
1322,Ставропольский край,СЕВЕРО-КАВКАЗСКИЙ ФО,18,27.3,17,25.8,61.1,0.0,0.0,38.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1323,Республика Ингушетия,СЕВЕРО-КАВКАЗСКИЙ ФО,3,42.9,1,14.3,33.3,0.0,0.0,66.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1324,Республика Дагестан,СЕВЕРО-КАВКАЗСКИЙ ФО,28,80.0,3,8.6,78.6,0.0,0.0,21.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1325,Респ. Кабардино-Балкария,СЕВЕРО-КАВКАЗСКИЙ ФО,8,36.4,4,18.2,62.5,0.0,0.0,37.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1326,Респ. Северная Осетия,СЕВЕРО-КАВКАЗСКИЙ ФО,6,60.0,2,20.0,66.7,0.0,0.0,33.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1327,Респ. Карачаево-Черкесия,СЕВЕРО-КАВКАЗСКИЙ ФО,6,46.2,2,15.4,83.3,16.7,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1328,Республика Чечня,СЕВЕРО-КАВКАЗСКИЙ ФО,15,71.4,6,28.6,26.7,0.0,0.0,53.3,20.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1329,Нижегородская область,ПРИВОЛЖСКИЙ ФО,59,64.8,15,16.5,76.3,0.0,0.0,23.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1330,Кировская область,ПРИВОЛЖСКИЙ ФО,13,50.0,5,19.2,92.3,0.0,0.0,7.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1331,Самарская область,ПРИВОЛЖСКИЙ ФО,53,66.3,8,10.0,54.7,0.0,0.0,45.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1332,Оренбургская область,ПРИВОЛЖСКИЙ ФО,21,48.8,14,32.6,61.9,0.0,0.0,38.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1333,Пензенская область,ПРИВОЛЖСКИЙ ФО,15,62.5,1,4.2,33.3,0.0,0.0,66.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1334,Пермский край,ПРИВОЛЖСКИЙ ФО,33,42.9,14,18.2,81.8,0.0,0.0,18.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1335,Саратовская область,ПРИВОЛЖСКИЙ ФО,51,68.9,7,9.5,54.9,0.0,0.0,45.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1336,Ульяновская область,ПРИВОЛЖСКИЙ ФО,19,59.4,6,18.8,57.9,0.0,0.0,42.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1337,Республика Башкортостан,ПРИВОЛЖСКИЙ ФО,59,60.8,8,8.2,57.6,0.0,0.0,42.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1338,Республика Марий Эл,ПРИВОЛЖСКИЙ ФО,6,50.0,4,33.3,83.3,0.0,0.0,16.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1339,Республика Мордовия,ПРИВОЛЖСКИЙ ФО,13,56.5,5,21.7,38.5,0.0,0.0,61.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1340,Республика Татарстан,ПРИВОЛЖСКИЙ ФО,48,44.0,48,44.0,79.2,0.0,0.0,20.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1341,Республика Удмуртия,ПРИВОЛЖСКИЙ ФО,12,40.0,8,26.7,58.3,0.0,0.0,41.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1342,Республика Чувашия,ПРИВОЛЖСКИЙ ФО,17,81.0,2,9.5,76.5,0.0,0.0,23.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1343,Ханты-Мансийский а.о.,УРАЛЬСКИЙ ФО,13,38.2,10,29.4,76.9,0.0,0.0,23.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1344,Ямало-Ненецкий а.о.,УРАЛЬСКИЙ ФО,1,20.0,3,60.0,100.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1345,Курганская область,УРАЛЬСКИЙ ФО,5,29.4,1,5.9,100.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1346,Свердловская область,УРАЛЬСКИЙ ФО,42,43.8,20,20.8,81.0,0.0,0.0,19.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1347,Тюменская обл.(б/а.о),УРАЛЬСКИЙ ФО,10,45.5,4,18.2,60.0,0.0,0.0,40.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1348,Челябинская область,УРАЛЬСКИЙ ФО,49,52.7,17,18.3,79.6,0.0,0.0,20.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1349,Алтайский край,СИБИРСКИЙ ФО,34,51.5,10,15.2,73.5,0.0,0.0,26.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1350,Красноярский край,СИБИРСКИЙ ФО,55,85.9,5,7.8,89.1,0.0,0.0,10.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1351,Иркутская область,СИБИРСКИЙ ФО,25,50.0,8,16.0,60.0,0.0,0.0,40.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1352,Кемеровская область,СИБИРСКИЙ ФО,20,39.2,12,23.5,60.0,0.0,0.0,40.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1353,Новосибирская область,СИБИРСКИЙ ФО,29,46.8,10,16.1,86.2,0.0,0.0,13.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1354,Омская область,СИБИРСКИЙ ФО,18,47.4,3,7.9,94.4,0.0,0.0,5.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1355,Томская область,СИБИРСКИЙ ФО,9,47.4,4,21.1,55.6,11.1,0.0,33.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1356,Республика Алтай,СИБИРСКИЙ ФО,2,66.7,0,0.0,50.0,0.0,0.0,50.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1357,Республика Тыва,СИБИРСКИЙ ФО,3,75.0,0,0.0,0.0,0.0,0.0,100.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1358,Республика Хакасия,СИБИРСКИЙ ФО,3,27.3,5,45.5,33.3,0.0,0.0,66.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1359,Приморский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,26,53.1,8,16.3,76.9,0.0,0.0,23.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1360,Хабаровский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,6,22.2,12,44.4,66.7,0.0,0.0,33.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1361,Амурская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,6,27.3,4,18.2,100.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1362,Камчатский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,5,71.4,1,14.3,20.0,0.0,0.0,80.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1363,Магаданская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1364,Сахалинская область,ДАЛЬНЕВОСТОЧНЫЙ ФО,9,69.2,0,0.0,55.6,0.0,0.0,44.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1365,Забайкальский край,ДАЛЬНЕВОСТОЧНЫЙ ФО,13,46.4,7,25.0,53.8,0.0,0.0,46.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1366,Чукотский авт.округ,ДАЛЬНЕВОСТОЧНЫЙ ФО,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1367,Республика Бурятия,ДАЛЬНЕВОСТОЧНЫЙ ФО,11,39.3,8,28.6,63.6,0.0,0.0,36.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1368,Республика Саха (Якутия),ДАЛЬНЕВОСТОЧНЫЙ ФО,10,62.5,1,6.3,60.0,0.0,0.0,40.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1369,Еврейская авт. обл.,ДАЛЬНЕВОСТОЧНЫЙ ФО,0,0.0,4,80.0,0.0,0.0,0.0,0.0,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению","Соединительная и другие мягкие ткани (С47,49)",Таблица 75,СОП
1370,РОССИЯ,,37873,54.8,18972,27.5,36.2,0.0,0.0,63.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1371,Белгородская область,ЦЕНТРАЛЬНЫЙ ФО,442,55.4,258,32.3,32.1,0.0,0.0,67.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1372,Брянская область,ЦЕНТРАЛЬНЫЙ ФО,358,58.3,178,29.0,28.5,0.0,0.0,71.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1373,Владимирская область,ЦЕНТРАЛЬНЫЙ ФО,418,59.2,166,23.5,12.9,0.0,0.0,87.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1374,Воронежская область,ЦЕНТРАЛЬНЫЙ ФО,563,50.3,358,32.0,20.6,0.0,0.0,79.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1375,Ивановская область,ЦЕНТРАЛЬНЫЙ ФО,297,56.9,120,23.0,24.2,0.0,0.0,75.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1376,Тверская область,ЦЕНТРАЛЬНЫЙ ФО,441,62.1,163,23.0,5.4,0.0,0.0,94.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1377,Калужская область,ЦЕНТРАЛЬНЫЙ ФО,323,64.3,23,4.6,54.2,0.3,0.0,45.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1378,Костромская область,ЦЕНТРАЛЬНЫЙ ФО,191,60.6,66,21.0,33.5,0.0,0.0,66.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1379,Курская область,ЦЕНТРАЛЬНЫЙ ФО,467,90.2,4,0.8,21.6,0.0,0.0,78.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1380,Липецкая область,ЦЕНТРАЛЬНЫЙ ФО,329,59.7,151,27.4,53.5,0.0,0.0,46.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1381,г. Москва,ЦЕНТРАЛЬНЫЙ ФО,1567,27.9,2574,45.8,39.8,0.0,0.0,60.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1382,Московская область,ЦЕНТРАЛЬНЫЙ ФО,2423,63.7,946,24.9,36.2,0.0,0.0,63.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1383,Орловская область,ЦЕНТРАЛЬНЫЙ ФО,193,50.8,96,25.3,32.6,0.0,0.0,67.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1384,Рязанская область,ЦЕНТРАЛЬНЫЙ ФО,430,70.7,90,14.8,47.0,0.5,0.0,52.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1385,Смоленская область,ЦЕНТРАЛЬНЫЙ ФО,233,45.4,136,26.5,33.5,0.0,0.0,66.5,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1386,Тамбовская область,ЦЕНТРАЛЬНЫЙ ФО,399,74.4,81,15.1,59.9,0.0,0.0,40.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1387,Тульская область,ЦЕНТРАЛЬНЫЙ ФО,553,63.3,94,10.8,37.6,0.0,0.0,62.4,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1388,Ярославская область,ЦЕНТРАЛЬНЫЙ ФО,517,66.7,105,13.5,10.1,0.0,0.0,89.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1389,Ненецкий а.о.,СЕВЕРО-ЗАПАДНЫЙ ФО,6,60.0,2,20.0,16.7,0.0,0.0,83.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1390,Архангельская обл.(б/а.о),СЕВЕРО-ЗАПАДНЫЙ ФО,354,69.3,68,13.3,17.2,0.0,0.0,82.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1391,Вологодская область,СЕВЕРО-ЗАПАДНЫЙ ФО,319,65.0,110,22.4,38.2,0.0,0.0,61.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1392,Калининградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,96,18.3,286,54.5,2.1,0.0,0.0,97.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1393,г. Санкт-Петербург,СЕВЕРО-ЗАПАДНЫЙ ФО,1915,62.2,822,26.7,37.3,0.0,0.0,62.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1394,Ленинградская область,СЕВЕРО-ЗАПАДНЫЙ ФО,352,66.9,102,19.4,24.1,0.0,0.0,75.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1395,Мурманская область,СЕВЕРО-ЗАПАДНЫЙ ФО,245,65.0,64,17.0,25.3,0.0,0.0,74.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1396,Новгородская область,СЕВЕРО-ЗАПАДНЫЙ ФО,103,34.6,134,45.0,10.7,0.0,0.0,89.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1397,Псковская область,СЕВЕРО-ЗАПАДНЫЙ ФО,144,45.9,101,32.2,25.7,0.0,0.0,74.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1398,Республика Карелия,СЕВЕРО-ЗАПАДНЫЙ ФО,239,70.1,41,12.0,22.2,0.0,0.0,77.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1399,Республика Коми,СЕВЕРО-ЗАПАДНЫЙ ФО,161,46.7,94,27.2,67.1,0.6,0.0,32.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1400,Краснодарский край,ЮЖНЫЙ ФО,1635,63.4,453,17.6,34.4,0.0,0.0,65.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1401,Астраханская область,ЮЖНЫЙ ФО,278,57.7,119,24.7,34.2,0.0,0.0,65.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1402,Волгоградская область,ЮЖНЫЙ ФО,805,60.9,352,26.6,26.3,0.0,0.0,73.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1403,Ростовская область,ЮЖНЫЙ ФО,758,43.3,701,40.0,37.2,0.0,0.0,62.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1404,Республика Адыгея,ЮЖНЫЙ ФО,22,12.0,81,44.3,68.2,4.5,0.0,27.3,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1405,Республика Калмыкия,ЮЖНЫЙ ФО,55,64.7,2,2.4,41.8,0.0,0.0,58.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1406,Республика Крым,ЮЖНЫЙ ФО,475,50.1,265,27.9,40.8,0.0,0.0,59.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1407,Город Cевастополь,ЮЖНЫЙ ФО,240,80.0,16,5.3,62.1,0.0,0.0,37.9,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1408,Ставропольский край,СЕВЕРО-КАВКАЗСКИЙ ФО,417,33.0,595,47.1,45.8,0.0,0.0,54.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1409,Республика Ингушетия,СЕВЕРО-КАВКАЗСКИЙ ФО,102,74.5,13,9.5,26.5,0.0,0.0,70.6,2.9,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1410,Республика Дагестан,СЕВЕРО-КАВКАЗСКИЙ ФО,482,73.5,121,18.4,31.3,0.0,0.0,68.7,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1411,Респ. Кабардино-Балкария,СЕВЕРО-КАВКАЗСКИЙ ФО,82,24.5,169,50.4,70.7,3.7,0.0,25.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1412,Респ. Северная Осетия,СЕВЕРО-КАВКАЗСКИЙ ФО,184,56.6,58,17.8,16.8,0.0,0.0,83.2,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1413,Респ. Карачаево-Черкесия,СЕВЕРО-КАВКАЗСКИЙ ФО,119,66.9,50,28.1,3.4,0.0,0.0,96.6,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1414,Республика Чечня,СЕВЕРО-КАВКАЗСКИЙ ФО,280,77.1,59,16.3,32.9,0.0,0.0,67.1,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
1415,Нижегородская область,ПРИВОЛЖСКИЙ ФО,1007,55.5,503,27.7,37.2,0.0,0.0,62.8,0.0,"Сведения о лечении злокачественных новообразований (зно), впервые зарегистрированных в 2021 г., подлежащих радикальному лечению",Молочная железа (С50),Таблица 76,СОП
